Timestamp,Question,Code,Question Type,Answers,A,B,C,D,Answer Explanation,Question Tag
11/03/20 22:19,Predict the output,"public class Test {
static {
System.out.println(1);
}

static {
System.out.println(2);
}

static {
System.out.println(3);
}

public static void main(String[] args) {
Test test;
}
}",MCQ,B,"3
2
1","1
2
3",garbage value,compile time error,,Initialization Block
11/03/20 22:33,Predict the output,"class A {
static int first;

static String second;

static {
System.out.println(1);

first = 100;
}

static {
System.out.println(2);

second = ""SECOND"";
}
}

public class Test {
static {
System.out.println(3);
}

public static void main(String[] args) {
System.out.println(4);

System.out.println(A.first);

System.out.println(A.second);
}
}",MCQ,C,"3
4
1
2
0
null","4
3
2
1
100
SECOND","3
4
1
2
100
SECOND","4
3
2
1
0
null",,Initialization Block
11/03/20 22:58,Predict the output,"class A {
static int i;

static {
i = 100;

System.out.println(1);
}

static void staticMethod() {
System.out.println(i);

System.out.println(2);
}
}

public class Test {
static {
System.out.println(3);
}

public static void main(String[] args) {
System.out.println(4);

System.out.println(A.i);

A.staticMethod();
}
}",MCQ,A,"3
4
1
100
100
2","3
4
1
100
2","3
4
1
100
1
100
2","3
4
1
100
2
100
2",,Initialization Block
11/03/20 23:01,We can invoke static method inside the SIB – Static Initialization Block,,True or False,TRUE,TRUE,FALSE,,,"Yes, We can invoke static method inside the SIB.

e.g.
class Test {
// SIB - Static Initialization Block
static {
staticmethod(); // Invoking static method inside SIB
}

static void staticmethod() {
System.out.println(""It is a static method"");
}
}",Initialization Block
11/03/20 23:05,Predict the output,"class Test {
{
System.out.println(1);
}

public Test() {
System.out.println(2);
}

public static void main(String[] args) {
System.out.println(3);

Test a = new Test();
}
}",MCQ,B,"1
2
3","3
1
2","3
2
1",compile time error,The initialisation block in this question is Instance Initialisation Block and we know that the instance initialisation block gets copied into constructor and then it gets executed.,Initialization Block
11/03/20 23:11,Predict the output,"public class Test {
{
System.out.println(""First"");
}

{
System.out.println(""Second"");
}

{
System.out.println(""Third"");
}

public Test() {
System.out.println(""Fourth"");
}

public static void main(String[] args) {
System.out.println(""Fifth"");

Test a = new Test();
}
}",MCQ,C,"First
Second
Third
Fourth
Fifth","Fifth
Fourth
Third
Second
First","Fifth
First
Second
Third
Fourth",compile time error,,Initialization Block
11/03/20 23:16,"Which one of these are executed first while creating an object to the class?

i) Statements of IIB (Instance Initialisation Block) block
ii) Statements of constructor",,MCQ,A,only i),only ii),both i) and ii) simultaneously,neither i) nor ii),"In any constructor, first statement will be either super() or this(). Second set of statements will be calling statements to all IIB’s of the class and third set of statements will be actual statements of constructor. Here is the template of a constructor.

Constructor()
{
[ (super() or this() ]

[ Calling Statements to IIB's ]

[ Statements of constructor ]
}",Initialization Block
11/03/20 23:22,Predict the output,"public class Test {
int i;

{
System.out.println(""IIB-1"");

i = 100;
}

{
System.out.println(""IIB-2"");

System.out.println(i);

i = 200;
}

public static void main(String[] args) {
System.out.println(""main"");

Test a = new Test();

System.out.println(a.i);
}
}",MCQ,D,"main
IIB-1
IIB-2
100
IIB-1
IIB-2
100
200","main
0","main
200","main
IIB-1
IIB-2
100
200",,Initialization Block
11/03/20 23:24,we can use static fields of a class inside the instance initialization block (IIB),,True or False,TRUE,TRUE,FALSE,,,"Yes, we can use static fields inside the IIB.

e.g.
public class Test {
static int staticField = 10; // Static Field

// Instance Initialization Block - IIB

{
// using static field inside IIB

System.out.println(staticField);
}
}",Initialization Block
11/03/20 23:32,"Does below program run successfully? if yes, what will be the output?","public class Test {
static int i = 10;

int j = 100;

{
methodOne();

i = 100;

j = 10;
}

void methodOne() {
System.out.println(""i = "" + i);

System.out.println(""j = "" + j);
}

public static void main(String[] args) {
Test a = new Test();

a.methodOne();
}
}",MCQ,A,"Yes, program will run successfully. Output will be,
i = 10
j = 100
i = 100
j = 10","No, program will not run successfully","Yes, program will run successfully. Output will be,
i = 10
j = 100","Yes, program will run successfully. Output will be,
i = 10
j = 100
i = 10
j = 100",,Initialization Block
11/03/20 23:46,Predict the output,"public class Test
{
{
System.out.println(1);
}

static
{
System.out.println(2);
}

public Test()
{
System.out.println(3);
}

public static void main(String[] args)
{
System.out.println(4);

Test a = new Test();
}
}",MCQ,C,"1
2
3
4","4
1
2
3","2
4
1
3","4
1
3
2","Static Block gets called at compile time and hence executed first. Instance block also gets added at start of constructor, but does not gets execute. The printed 4 at run time. After that when we create instance of class. The constructors gets called (which executes instance block first and then constructor statements)",Initialization Block
11/03/20 23:49,How many instance initializers (IIB) are there in the below class?,"public class Test {
char c = 'A';

{
c = 'B';
}

{
c = 'C';
}
}",MCQ,B,2,3,1,0,"Three.

public class Test {
char c = 'A'; // ------&gt; (1)

{
c = 'B'; // ------&gt; (2)
}

{
c = 'C'; // ------&gt; (3)
}
}",Initialization Block
11/04/20 00:02,Predict the output,"public class Test {
static {
i = 30;
}

static int i = 20;

static {
i = 10;
}

public static void main(String[] args) {
System.out.println(Test.i);
}
}",MCQ,C,20,"compile time error. variable ""i"" is not declared.",10,30,,Initialization Block
11/04/20 00:10,"Is the below code written correctly? If yes, what will be the output when you run it?","public class Test {
{
System.out.println(1);

id = 1001;
}

static {
System.out.println(2);

name = ""NAME"";
}

static String name;

public Test(String name, int id) {
System.out.println(3);

this.name = name;

this.id = id;
}

int id;

{
System.out.println(4);

System.out.println(id);
}

static {
System.out.println(5);

System.out.println(name);
}

public static void main(String[] args) {
System.out.println(6);

Test a = new Test(""MyName"", 1111);
}
}",MCQ,D,"Yes, code is written correctly. Output will be,
6
2
5
NAME
1
4
1001
3","Yes, code is written correctly. Output will be,
2
5
MyName
6
1
4
1111
3",No. The code will give compile time error,"Yes, code is written correctly. Output will be,
2
5
NAME
6
1
4
1001
3",Static Block gets executed at compile time. While instance block gets executed at runtime before constructor statements.,Initialization Block
11/04/20 00:23,Predict the output,"public class Test {
{
System.out.println(i);
}

int i = 10;

public static void main(String[] args) {
System.out.println(6);
}
}",MCQ,C,"10
6","6
10",compile time error,runtime error,Because you can't use a field before it is defined (even in initialization block),Classes and Objects
11/04/20 00:25,“Constructors must not have return type”. It is a rule in java. What happens if we mention return type for a constructor?,,MCQ,B,compile time error,It will be treated as a method with a warning that “this method has a constructor name”.,runtime error,syntax error,,Constructor
11/04/20 00:27,Below code is written correctly:,"public class Test {
{
i = 1111;
}

int i;

public static void main(String[] args) {
System.out.println(6);
}
}",True or False,TRUE,TRUE,FALSE,,,"You can’t use a field before it is defined. But, you can initialize a field before it is defined.",Initialization Block
11/04/20 00:29,"You know that if you don’t write any constructors in your class, compiler will keep one default constructor in your class. What will be the visibility of this default constructor?",,MCQ,D,default,private,protected,public,,Constructor
11/04/20 00:33,You can instantiate the below class in another class (Using new operator only),"public class Test {
private Test() {
System.out.println(""It is a constructor"");
}
}",True or False,FALSE,TRUE,FALSE,,,Because it has only private constructor.,Constructor
11/04/20 00:35,We can define constructors without a body,,True or False,FALSE,TRUE,FALSE,,,Constructors must be concrete.,Constructor
11/04/20 00:37,The below code will compile successfully,"public class Test {
final Test()
{
System.out.println(""It is a constructor"");
}

public static void main(String[] args) {
System.out.println(6);
}
}",True or False,FALSE,TRUE,FALSE,,,"Constructors can’t be final. They can either be public, protected or private.",Constructor
11/07/20 12:29,Predict the output,"class ClassOne {
static int i = 10;

static {
i = 20;
}

public ClassOne(int i) {
System.out.println(i);

this.i = i;
}

{
i = 30;
}
}

public class Test {
public static void main(String[] args) {
System.out.println(ClassOne.i);
}
}",MCQ,B,10,20,30,compile time error,"The static block gets executed at the compile time. Hence value of I is set to 20. The instance initializer block gets copied at start of constructor at compile time. 
But the parametrized constructor didn't get call (as we didn't pass any parameter while creating object of class). And hence the value of i remain to 20 only. Thus answer is 20.",Initialization Block
11/07/20 12:39,Predict the output,"class ClassOne {
{
System.out.println(1);
}

static {
System.out.println(2);
}

public ClassOne(int i) {
System.out.println(3);
}

public ClassOne() {
System.out.println(4);
}
}

public class Test {
{
System.out.println(5);
}

public static void main(String[] args) {
System.out.println(6);

ClassOne one = new ClassOne();

ClassOne two = new ClassOne(10);
}
}",MCQ,C,"6
5
2
1
4
1
3","6
5
1
2
3
4","6
2
1
4
1
3","6
2
1
4
2
1
3","Instance block of ClassTwo never gets called (as we didn't create object of ClassTwo in main function). The static block of ClassOne gets executed only once (even though object is created twice). Now for each object of ClassOne, respective constructor gets called (along with instance block.... each time).",Initialization Block
11/07/20 12:42,We can invoke one constructor from another constructor of the same class,,True or False,TRUE,TRUE,FALSE,,,"Yes. we can invoke one constructor from another constructor of the same class using ""this"" keyword.",Constructor
11/07/20 13:03,Predict the output,"class ClassOne {
char c = 'A';

{
c = 'B';
}

public ClassOne(char c) {
this.c = c;
}
}

public class Test {
public static void main(String[] args) {
ClassOne one = new ClassOne('D');

System.out.println(one.c);
}
}",MCQ,D,A,B,compile time error,D,"Instance block gets copied into constructor. But ""this"" keywords refers to the class variable, hence updating the class variable ""c"" with value ""D"" (passed as argument while object creation)",Constructor
11/07/20 13:07,Predict the output,"class ClassOne {
String s;

{
s = ""FIRST"";
}

{
s = ""SECOND"";
}

public ClassOne() {
s = ""THIRD"";
}

public ClassOne(String s) {
this();

System.out.println(this.s);
}
}

public class Test {
public static void main(String[] args) {
ClassOne one = new ClassOne(""LAST"");
}
}",MCQ,A,THIRD,FIRST,LAST,SECOND,"""this"" keywords calls the non-parameterized constructor into parametrized constructor. Hence ""this.s"" refers to variable ""s"" defined in non paremeterized constructor (and does not refer to variable ""s"" passed as argument while object creation).",Constructor
11/07/20 13:14,Below class is defined correctly.,"public class Test {
public Test(int i) {
this((float) 23.5);
}

public Test(float f) {
this(28.56);
}

Test(double d) {
this(10);
}

public static void main(String[] args) {
Test one = new Test(3);
}
}",True or False,FALSE,TRUE,FALSE,,,This code will throw compile time error. As Constructors can't be called recursively.,Constructor
11/07/20 13:15,How many constructors are there in below class?,"public class A
{

}",MCQ,B,0,1,2,infinite,"If you are not writing any constructors in your class, compiler will keep one No-arg constructor by default.",Constructor
11/07/20 13:18,Default constructor is always a no-argument constructor,,True or False,TRUE,TRUE,FALSE,,,Default constructor is a constructor implicitly written by the compiler if a class does not have any constructors. Default constructor is always a No-arg constructor.,Constructor
11/07/20 13:25,Predict the output,"import java.util.TreeSet;

public class Test {
static {
System.out.println('A');
}

static {
System.out.println('B');
}

public Test() {
System.out.println('C');
}

public static void main(String[] args) {
System.out.println('D');

Test a = new Test();
}
}",MCQ,C,"D
A
B
C","A
B
C
D","A
B
D
C","D
C
B
A","Static Block gets executed at compile time as per their order in code. At runtime, main function gets executed first and during object creation, constructor gets called.",Constructor
11/07/20 13:27,We can refer static fields in non-static methods. True or false?,,True or False,TRUE,TRUE,FALSE,,,We can refer static fields in non-static methods.,Classes Methods
11/07/20 13:38,We can give a call to non-static method from a static method,,True or False,FALSE,TRUE,FALSE,,,"We can’t call non-static method from a static method.

public class Test {
static void staticMethod() {
nonStaticMethod(); // Compile time error : can't make static reference to non-static method
}

void nonStaticMethod() {

}
}",Classes Methods
11/07/20 18:14,Which of the following is common to all instances of a class?,,MCQ,A,Static fields,Non-static methods,Static methods,A & C,,Classes and Objects
11/07/20 18:22,The below code will give output. True or False?,"public class Test {
static void methodOne() {
System.out.println(""A"");
}

void methodTwo() {
System.out.println(""B"");

methodOne();
}

public static void main(String[] args) {
System.out.println(""C"");

new Test().methodTwo();
}
}",True or False,TRUE,TRUE,False. Because Object of class Test is not assigned t any variable,,,"Even though the object of class Test is not assigned to any variable. We can still directly call the method of the object.

Output will be,
C
B
A",Classes and Objects
11/07/20 18:32,Predict the output,"class ClassOne {
static {
System.out.println(1);
}

public static void main(String[] args) {
System.out.println(2);
}
}

public class Test {
{
System.out.println(3);
}

public static void main(String[] args) {
ClassOne.main(args);
}
}",MCQ,B,"1
2
3","1
2","3
1
2",compile time error. Because one file can't contain 2 main methods.,java program can contain more than one methods. and the instance block of ClassTwo didn't get call (because object of ClassTwo was never created). Hence only static block and main methods gets executed of ClassOne.,Classes and Objects
11/08/20 12:26,Predict the output,"public class Test {
static int methodOne(int i) {
i = i++ + --i;

return i;
}

static int methodTwo(int i) {
i = i-- - ++i + methodOne(i);

return i;
}

public static void main(String[] args) {
int i = 11;

System.out.println(methodTwo(i) + ++i - --i);
}
}",MCQ,D,22,21,24,23,,Classes Methods
11/08/20 12:31,Predict the output,"class ClassOne {
static {
System.out.println('A');
}

static char c = 'Z';

static char getC() {
return c;
}
}

public class Test {
{
System.out.println('B');
}

public static void main(String[] args) {
char c;

c = ClassOne.getC();

System.out.println(c);
}
}",MCQ,A,"A
Z","B
A
Z","A
B
Z","A
Z
B","Instance block of ClassTwo never gets executed (Because we didn't create object of ClassTwo in main method). At compile time static block of ClassOne gets executed. After that variable ""c"" gets initialized with value ""Z"" and ""getC()"" returns value of variable c.",Initialization Block
11/08/20 12:41,Predict the output,"class ClassOne {
{
s = ""second"";
}

String s = ""first"";

{
System.out.println(s);

s = ""third"";
}

public ClassOne() {
System.out.println(s);
}

public ClassOne(String s) {
System.out.println(s);

this.s = s;
}
}

public class Test {
public static void main(String[] args) {
ClassOne one = new ClassOne(""last"");

ClassOne two = new ClassOne();
}
}",MCQ,B,"second
last
first
third","first
last
first
third","compile time error. Because variable ""s"" in not defined in first instance block of ClassOne.","second
last
second
third",,Initialization Block
11/08/20 12:43,"We can use ""this"" keyword in static context",,True or False,FALSE,TRUE,FALSE,,,,Classes and Objects
11/08/20 12:53,Predict the output,"public class Test {
static int i = 10, j = 20;

int m = 30, n = 40;

public static void main(String[] args) {
Test a1 = new Test();

Test a2 = new Test();

a1.i = 100;

System.out.println(a2.i);

a2.j = 200;

System.out.println(a1.j);

a1.m = 300;

System.out.println(a2.m);

a2.n = 400;

System.out.println(a1.n);
}
}",MCQ,C,"10
20
30
40","10
20
300
400","100
200
30
40","100
200
300
400","Static variable shares the same value among all instance of class (i.e. If one instance of class updates value of static variable. The value gets reflected in all instances).
Non-static variable are created separately for each instance of class (i.e. if one instance of class updates value of non-static variable. Then value of that variable in other instances of class doesn't get affected.)",Classes and Objects
11/08/20 13:05,Predict the output,"public class Test {
int i = 111;

static int j = 222;

static void methodOne(int i, int j) {
System.out.println(i);

System.out.println(j);
}

public static void main(String[] args) {
methodOne(333, 444);
}
}",MCQ,D,"111
222","111
444","333
222","333
444",,Classes and Objects
11/08/20 13:07,Super() is used to call constructor of the same class. True or False?,,True or False,FALSE,TRUE,FALSE,,,super() is used to call constructor of the super class where as this() is used to call constructor of the same class.,Classes and Objects
11/08/20 13:09,"Constructor signature consist of which of the below things:

1) Constructor name
2) Number of arguments
3) Types of arguments
4) Order of arguments",,MCQ,A,"1), 2), 3) and 4)","1), 3) and 4)","1), 2) and 3)",1) and 3),,Constructor
11/08/20 13:24,Predict the output,"public class Test {
int m;

double n;

public Test(int i) {
m = i;
}

public Test(double d) {
n = d;
}

{
System.out.println(m);

System.out.println(n);
}

public static void main(String[] args) {
Test a1 = new Test(500);

Test a2 = new Test(50.0);

System.out.println(a1.m + "" : "" + a1.n);

System.out.println(a2.m + "" : "" + a2.n);
}
}",MCQ,C,"500
50.0
500
50.0
500 : 50.0
500 : 50.0","500
50.0
0
0.0
500 : 0.0
0 : 50.0","0
0.0
0
0.0
500 : 0.0
0 : 50.0","500
50.0
500
50.0
500 : 0.0
0 : 50.0","During each object creation the instance block gets called. Hence instance block gets called twice (because 2 objects created in main method). 

But the variables were not initialized with any value (at the time of execution of instance block). Hence default values got printed.

After this as we can see object a1 assigned value to only m and object a2 assigned value to only n. Hence values of other variable in each object remain default.",Initialization Block
11/08/20 14:07,Predict the output,"public class Test {
char c = 'A';

Test a;

{
System.out.println(c);

c = 'B';
}

public Test(Test a) {
this.a = a;
}

public static void main(String[] args) {
Test a = null;

a = new Test(a);

System.out.println(a.c);

System.out.println(a.a.c);

System.out.println(a.a.a.c);

System.out.println(a.a.a.a.c);

a.a.a.a.a.c = 'Z';

System.out.println(a.c);
}
}",MCQ,B,"A
B
B
B
B
B
Z",Null pointer exception at runtime.,"A
B
A
A
A
A
Z",compile time error,"we will get null pointer exception at line ""System.out.println(a.a.c);""",Classes and Objects
11/08/20 14:14,Predict the output,"public class Test {
int i;

Test a;

{
i = 10;

a = new Test();
}

public static void main(String[] args) {
Test a = new Test();

System.out.println(a.a.a.a.a.a.i);
}
}",MCQ,D,10,compile time error,null pointer exception at runtime,StackOverflow error at runtime,"Instance block gets executed (through constructors) when object of class is created. But inside the instance block we are creating object of same class again.

So it will give stack overflow error at runtime. Because, constructor of class A will be kept calling",Initialization Block
11/08/20 14:17,Predict the output,"public class Test {
String s;

Test a;

public Test(String s) {
this.s = s;
}

public static void main(String[] args) {
Test a1 = new Test(""first"");

Test a2 = new Test(""second"");

a1.a = a2;

a2.a = a1;

System.out.println(a1.a.s);

System.out.println(a2.a.s);
}
}",MCQ,B,"first
second","second
first",compile time error,runtime error,,Classes and Objects
11/08/20 14:23,Predict the output,"public class Test {
String s;

public Test() {
this(""It's not me"");

System.out.println('A');

System.out.println(s);
}

Test(String s) {
System.out.println('B');

System.out.println(this.s);

this.s = s;
}

{
System.out.println('C');

System.out.println(s);

this.s = ""ABCD"";
}

public static void main(String[] args) {
Test a1 = new Test();

Test a2 = new Test(""It's me"");
}
}",MCQ,C,"C
null
B
It's not me
A
ABCD
C
null
B
ABCD","C
null
B
It's not me
A
ABCD
C
null
B
It's me","C
null
B
ABCD
A
It’s not me
C
null
B
ABCD","C
null
B
ABCD
A
It’s not me
C
null
B
It's me",,Classes and Objects
11/08/20 14:29,Predict the output,"public class Test {
static void A(int i) {
System.out.println(""Tested "" + i);
}

static {
A(5);
}

public static void main(String[] args) {
A(4);
}
}",MCQ,D,"Tested 4
Tested 5",compile time error,runtime error,"Tested 5
Tested 4",,Initialization Block
11/08/20 14:32,Predict the output,"class X {
int i = 50;
}

class Y {
int i = 100;

X x;
}

public class Test {
public static void main(String[] args) {
X x = new X();

Y y = new Y();

y.x = x;

System.out.println(x.i);

System.out.println(y.i);

System.out.println(y.x.i);
}
}",MCQ,D,"50
100
100",runtime error,compile time error,"50
100
50",,Classes and Objects
11/08/20 14:34,What are the modifiers allowed to apply to a constructor?,,MCQ,B,"default, public, private and protected","public, private and protected","default, public and protected","default, public and private",,Constructor
11/08/20 14:35,We can instantiate the below class. True or False?,"class X
{
X x = new X();
}",True or False,FALSE,TRUE,FALSE,,,"Constructor will be called recursively, thus throwing StackOverflowError.",Constructor
11/08/20 14:38,What will be the outcome of the below program?,"class X {
Z z = new Z();
}

class Y {
X x = new X();
}

class Z {
Y y = new Y();
}

public class Test {
public static void main(String[] args) {
Z z = new Z();
}
}",MCQ,B,compile time error,stack overflow error at runtime,null pointer exception error at runtime,No error & no output (because of no print statements),Exception in thread “main” java.lang.StackOverflowError. Constructors of all three classes are recursively called while you try to create an object to any class.,Constructor
11/08/20 14:39,We can call super() and this() from a method. True or False?,,True or False,FALSE,TRUE,FALSE,,,,Classes Methods
12/26/2020 22:44:52,How many maximum numbers of objects can be created from a single Class in Java?,,MCQ,A,32,64,256,None,There is no limit on the number of objects being created from a class.,Classes and Objects
12/26/2020 22:47:00,Creating an object from a class is also called ____.,,MCQ,B,Initializing,Instantiating,Interfacing,None of the above,,Classes and Objects
12/26/2020 22:48:16,An object is created at __ time in Java.,,MCQ,C,Compile-time,Assembling time,Run time,None of the above,,Classes and Objects
12/26/2020 22:53:34,Predict the output,"public class Example {

}

public class Test {
public static void main(String[] args) {
System.out.println(""Hello Boss.!"");
}
}",MCQ,D,Hello Boss.!,No Output,None of the above,Compiler error,There can not be more than one public class declared inside a single java file.,Classes and Objects
12/26/2020 23:12:56,Predict the output,"class Food {
int items;

int show() {
return items;
}
}

class Test {
public static void main(String[] args) {
Food f = new Food();
f.items = 5;
System.out.println(""Items Before = "" + f.show());
change(f);
System.out.println(""Items After = "" + f.show());
}

static void change(Food foo) {
foo.items = 10;
}
}",MCQ,A,"Items Before = 5
Items After = 10","Items Before = 10
Items After = 10","Items Before = 5
Items After = 5","Items Before = 10
Items After = 5",,Classes and Objects
12/26/2020 23:15:50,Predict the output,"class Test {
int rats = 5;

public static void main(String[] args) {
Test t1 = new Test();
System.out.println(""Rats Before = "" + t1.rats);
modify(t1.rats);
System.out.println(""Rats After = "" + t1.rats);
}

static void modify(int r) {
r = 20;
}
}",MCQ,B,"Rats Before = 5
Rats After = 20","Rats Before = 5
Rats After = 5","Rats Before = 20
Rats After = 20","Rats Before = 20
Rats After = 5","The primitive values are passed by value only. So, changes in the method modify does not change the original value.",Classes and Objects
12/26/2020 23:19:33,Predict the output,"class Cricket {
int runs;
}

class Test {
public static void main(String[] args) {
Cricket c1 = new Cricket();
c1.runs = 250;
Cricket c2;
c2 = c1;
c2.runs = 300;
System.out.println(""Runs= "" + c1.runs);
}
}",MCQ,C,Runs= 0,Runs= 250,Runs= 300,Compiler error,The reference C2 also points to the same object pointed by reference C1.,Classes and Objects
